Unnamed: 0,original,normalized,prediction
404,"thấy mâm nào thiếu thì nhảy vào chứ sao, k nhảy vào bàn họ cô dâu chú rể ngồi luôn","thấy mâm nào thiếu thì nhảy vào chứ sao, không nhảy vào bàn họ cô dâu chú rể ngồi luôn","thấy mâm nào thiếu thì nhảy vào chứ sao, không nhảy vào bàn họ cô dâu chú rể ngồi luôn"
405,"Nhà mình có 2 wc tầng trên tầng dưới, lúc chỉ xài 1 viên thử cho 1 wc thôi thì thấy nó sạch hơn vs nó trắng lên so vs cái bồn cầu còn lại","Nhà mình có 2 wc tầng trên tầng dưới, lúc chỉ xài 1 viên thử cho 1 wc thôi thì thấy nó sạch hơn với nó trắng lên so với cái bồn cầu còn lại","Nhà mình có 2 wc tầng trên tầng dưới, lúc chỉ xài 1 viên thử cho 1 wc thôi thì thấy nó sạch hơn với nó trắng lên so với cái bồn cầu còn lại"
406,Team đồ đen ko thíc mùa hè,Team đồ đen không thích mùa hè,Team đồ đen không thích mùa hè
407,để t chống mắt lên xem m cãi kiểu j,để tao chống mắt lên xem mày cãi kiểu gì,để tôi chống mắt lên xem mày cãi kiểu gì
408,"không, nhma bị đánh dấu bài :))))))","không, nhưng mà bị đánh dấu bài :))))))","không, nhưng mà bị đánh dấu bài :"
409,Thôi thì cũng mong là MC năm nay ăn cúp đi cố lắm lòi cả tĩ r =))),Thôi thì cũng mong là MC năm nay ăn cúp đi cố lắm lòi cả trĩ rồi =))),Thôi thì cũng mong là MC năm nay ăn cúp đi cố lắm lòi cả tĩ rồi =)))
410,"Trc là đi học, sau là đi làm, không nên kì vọng vào bất kì mối quan hệ nào cả","Trước là đi học, sau là đi làm, không nên kì vọng vào bất kì mối quan hệ nào cả","Trước là đi học, sau là đi làm, không nên kì vọng vào bất kì mối quan hệ nào cả"
411,C ấy lại ra phim để coi rồi,Cậu ấy lại ra phim để coi rồi,Cậu ấy lại ra phim để coi rồi
412,Thế mà k péo đc mới tài chứ,Thế mà không béo được mới tài chứ,Thế mà không péo được mới tài chứ
413,Về đồn thì mềm xương vs chú.,Về đồn thì mềm xương với chú.,Về đồn thì mềm xương với chú.
414,xin it's chân gà cko hommie,xin ít chân gà cho hommie,xin it's chân gà cho hommie
415,Ăn không có ngon k mn? Có chua k?,Ăn có không ngon không mọi người? Có chua không?,Ăn không có ngon không mọi người? Có chua không?
416,trúng k mà sao k có quà vậy,trúng không mà sao không có quà vậy,trúng không mà sao không có quà vậy
417,Ngta dùng đi chợ đồ đó để bảo vệ mt cũng tốt mà,Người ta dùng đi chợ đồ đó để bảo vệ môi trường cũng tốt mà,Người ta dùng đi chợ đồ đó để bảo vệ mọi người cũng tốt mà
418,"Sorry tại thấy người ta cười vui quá cái nên cười theo í -""-","Sorry tại thấy người ta cười vui quá cái nên cười theo ý -""-","Sorry tại thấy người ta cười vui quá cái nên cười theo í -""-"
419,giống t kêu quán bán kẹo bông gòn k m,giống tao kêu quán bán kẹo bông gòn không mày,giống tôi kêu quán bán kẹo bông gòn không mày
420,"nhứt náck, chúm ta nợ bé Thu 1 lời syn lũi","nhức nách, chúng ta nợ bé Thu 1 lời xin lỗi","nhất nhì, chúm ta nợ bé Thu 1 lời syn lũi"
421,nhận vào làm nhưng lương bao nhiêu thì ko nói :))))),nhận vào làm nhưng lương bao nhiêu thì không nói :))))),nhận vào làm nhưng lương bao nhiêu thì không nói
422,Sao bít hay z tr,Sao biết hay vậy trời,Sao bít hay vậy trời
423,tui quý bả vãi l luôn kiểu tui nghĩ mai mốt tui giàu tui sẽ kéo bả ra khỏi những cái toxic bả đang chịu,tui quý bả vãi lồn luôn kiểu tui nghĩ mai mốt tui giàu tui sẽ kéo bả ra khỏi những cái toxic bả đang chịu,tui quý bả vãi l luôn kiểu tui nghĩ mai mốt tui giàu tui sẽ kéo bả ra khỏi những cái toxic bả đang chịu
424,như lúc ms yêu lun,như lúc mới yêu luôn,như lúc mình yêu luôn
425,"đúng ,ko cần nhiều bạn chỉ cần bạn tốt chứ bạn mà sống như c thì next","đúng ,không cần nhiều bạn chỉ cần bạn tốt chứ bạn mà sống như cặc thì next","đúng , không cần nhiều bạn chỉ cần bạn tốt chứ bạn mà sống như cậu thì next"
426,Hướng nụi chớ hỏng có hiền,Hướng nội chứ không có hiền,Hướng nụi chứ hỏng có hiền
427,"lớp t khi nghe tin hc 3 tiết toán kỉu: thoy t đi dìa, đi dìa tụi bây ơi=)))","lớp tôi khi nghe tin học 3 tiết toán kiểu: thôi tôi đi về, đi về tụi bây ơi=)))","lớp tôi khi nghe tin học 3 tiết toán kiểu: thôi tôi đi dìa, đi dìa tụi bây ơi=)))"
428,Xưng tôi với em là chưa gì đã thấy tuỵt giời r,Xưng tôi với em là chưa gì đã thấy tuyệt vời rồi,Xưng tôi với em là chưa gì đã thấy tuỵt giời rồi
429,T vái lần sau qua như vậy nữa xe tải nó húc chết mẹ đi cho có nhân có quả :)),Tôi vái lần sau qua như vậy nữa xe tải nó húc chết mẹ đi cho có nhân có quả :)),Trời vái lần sau qua như vậy nữa xe tải nó húc chết mẹ đi cho có nhân có quả
430,tag và ko nói gì,tag và không nói gì,tag và không nói gì
431,":)))) rủ đi nhậu, bạn mời bia, đồ ăn mn hùn, kiểu z, rẻ hơn thì mua nước mời đc r, 10 người cũng ko bao nhiêu",":)))) rủ đi nhậu, bạn mời bia, đồ ăn mọi người hùn, kiểu vậy, rẻ hơn thì mua nước mời được rồi, 10 người cũng không bao nhiêu",") rủ đi nhậu, bạn mời bia, đồ ăn mọi người hùn, kiểu vậy, rẻ hơn thì mua nước mời được rồi, 10 người cũng không bao nhiêu"
432,bữa t đưa tờ 100 thôi mà còn bị cằn nhằn rồi đó trừi huống hồ gì tờ này,bữa tôi đưa tờ 100 thôi mà còn bị cằn nhằn rồi đó trời huống hồ gì tờ này,bữa tôi đưa tờ 100 thôi mà còn bị cằn nhằn rồi đó trừi huống hồ gì tờ này
433,Eyeliner sắc bén thì mới chém hết các đề thi đc,Eyeliner sắc bén thì mới chém hết các đề thi được,Eyeliner sắc bén thì mới chém hết các đề thi được
434,may quá em 3 k đi đường lộ,may quá em 3 không đi đường lộ,may quá em 3 không đi đường lộ
435,"Nếu vậy áo 2 lớp lớp ngoài trắng để cách nhiệt, lớp trong đen để chống UV liệu có đc ko ta","Nếu vậy áo 2 lớp lớp ngoài trắng để cách nhiệt, lớp trong đen để chống UV liệu có được không ta","Nếu vậy áo 2 lớp lớp ngoài trắng để cách nhiệt, lớp trong đen để chống UV liệu có được không ta"
436,trong khi b tôi có quy tắc 45°,trong khi bạn tôi có quy tắc 45°,trong khi bạn tôi có quy tắc 45°
437,"sao xoá bài kia rùi zay, đang có nhiệt mà ta","sao xoá bài kia rồi vậy, đang có nhiệt mà ta","sao xoá bài kia rồi vậy, đang có nhiệt mà ta"
438,Có nói quá ko zậy chời.,Có nói quá không vậy trời.,Có nói quá ko vậy chời.
439,"Dương Thúy Vi là VĐV mở bát cho đoàn Việt Nam sáng nay  Riêng nội dung này thì nhiều người quan tâm ai được HCB nhiều hơn, vì HCV quá dễ đoán =))","Dương Thúy Vi là vận động viên mở bát cho đoàn Việt Nam sáng nay Riêng nội dung này thì nhiều người quan tâm ai được huy chương bạc nhiều hơn, vì huy chương vàng quá dễ đoán =))","Dương Thúy Vi là VĐV mở bát cho đoàn Việt Nam sáng nay Riêng nội dung này thì nhiều người quan tâm ai được HCB nhiều hơn, vì HCV quá dễ đoán =))"
440,"Trương Gia Nghê xink quớ, vợ kaooooo","Trương Gia Nghê xinh quá, vợ tao","Trương Gia Nghê xin lỗi, vợ tao"
441,T không ăn thịt mỡ với da gà,Tôi không ăn thịt mỡ với da gà,tôi không ăn thịt mỡ với da gà
442,Cái gì cũng phải dấp ngã 1 lần rồi đứng dậy làm lại cuộc đời đừng vì tất cả mà hại cho bản thân mình,Cái gì cũng phải vấp ngã 1 lần rồi đứng dậy làm lại cuộc đời đừng vì tất cả mà hại cho bản thân mình,Cái gì cũng phải dấp ngã 1 lần rồi đứng dậy làm lại cuộc đời đừng vì tất cả mà hại cho bản thân mình
443,Tui là tui móc tay zô ống tay áo luôn :)),Tui là tui móc tay vô ống tay áo luôn :)),Tui là tui móc tay vô ống tay áo luôn
444,nữa tháo ra đừng cười quài nha,nữa tháo ra đừng cười hoài nha,nữa tháo ra đừng cười quài nha
445,"mà mai mốt đừng chia phần highnote cho chị nữa, để chị gánh phần visual là được ròi","mà mai mốt đừng chia phần highnote cho chị nữa, để chị gánh phần visual là được rồi","mà mai mốt đừng chia phần highnote cho chị nữa, để chị gánh phần visual là được rồi"
446,muốn ko làm mà vẫn có ăn như t thì chơi boc6,muốn không làm mà vẫn có ăn như tao thì chơi bốc,muốn không làm mà vẫn có ăn như tôi thì chơi bốc6
447,v là t vs m p đổi tên hay là nó vs nó p đổi tên?,vậy là tao với mày phải đổi tên hay là nó với nó phải đổi tên?,vậy là tôi với mày phải đổi tên hay là nó với nó phải đổi tên?
448,vào đọc đi để đỡ trầm kảm=))),vào đọc đi để đỡ trầm cảm=))),vào đọc đi để đỡ trầm cảm=)))
449,lấy chồng có để lại hâu quả này ko ạ:),lấy chồng có để lại hậu quả này không ạ:),lấy chồng có để lại hâu quả này không ạ:)
450,con xinnn lũi mẹ cụa con,con xin lỗi mẹ của con,con xin lỗi mẹ của con
451,"b.ọ.n đàn ông ngoại tình n.g.u n.g.ố.c v s tr, con nhỏ đó lm mấy cái hành động mắc ó.i v mà cũng yêu đc.","bọn đàn ông ngoại tình ngu ngốc vậy sao trời, con nhỏ đó làm mấy cái hành động mắc ói vậy mà cũng yêu được.","bọn đàn ông ngoại tình n.g.u n.g.ố.c v s tr, con nhỏ đó làm mấy cái hành động mắc ó.i v mà cũng yêu đc."
452,mọi ngừi ôm mình 1 cái được hông?,mọi người ôm mình 1 cái được không?,mọi người ôm mình 1 cái được không?
453,lương 5tr vẫn lấy dc vợ,lương 5tr vẫn lấy được vợ,lương 5tr vẫn lấy được vợ
454,mặt xinh mới là xinhh,mặt xinh mới là xinh,mặt xinh mới là xinh
455,kkkk ngủ như b iu khum có ny là đúng,kkkk ngủ như bạn yêu không có người yêu là đúng,kkkk ngủ như bạn yêu không có người yêu là đúng
456,doc cmt roi lua di ck iu,đọc cmt rồi lựa đi chồng yêu,doc cmt roi lua di ck iu
457,sắp đến ngày hoàng đạo r đề nghị kiêng nhé,sắp đến ngày hoàng đạo rồi đề nghị kiêng nhé,sắp đến ngày hoàng đạo rồi đề nghị kiêng nhé
458,em đừnk có bỏ ank đi màk,em đừng có bỏ anh đi mà,em đừng có bỏ anh đi mà
459,Ko đeo bao tay vào,Không đeo bao tay vào,Ko đeo bao tay vào
460,Chụp HS thôi chứ sao cứ lấy cây xoài làm vật trang trí dị,Chụp Học Sinh thôi chứ sao cứ lấy cây xoài làm vật trang trí vậy,Chụp HS thôi chứ sao cứ lấy cây xoài làm vật trang trí vậy
461,đi thăm bà khum kìa =))),đi thăm bà không kìa =))),đi thăm bà không kìa =)))
462,tưởng mìnk là hoa quậu hã,tưởng mình là hoa hậu hả,tưởng mình là hoa quậu hả
463,bài viết gợi nhớ tuổi thơ dữ dội của các pé chẻ,bài viết gợi nhớ tuổi thơ dữ dội của các bé trẻ,bài viết gợi nhớ tuổi thơ dữ dội của các bé trẻ
464,y chang Starry Night của Van Gogh lun,y chang Starry Night của Van Gogh luôn,Y chang Starry Night của Van Gogh luôn
465,mốt hong chưi dị nha bạn mình ơi :)),mốt không chơi vậy nha bạn mình ơi :)),mốt không chưi vậy nha bạn mình ơi
466,Đang nói tui đó hả tr,Đang nói tui đó hả trời,Đang nói tui đó hả trời
467,Có ai nghe tiếng lưới giống mình k ?,Có ai nghe tiếng lưới giống mình không ?,Có ai nghe tiếng lưới giống mình không ?
468,Nghe zui quá dô thôi,Nghe vui quá vô thôi,Nghe vui quá vậy thôi
469,3 hôm nữa lại có bài thư kí trưởng hiệp hội xxx đi lên bằng quan hệ với các quan chức khác thì t cười ẻ,3 hôm nữa lại có bài thư kí trưởng hiệp hội xxx đi lên bằng quan hệ với các quan chức khác thì tôi cười ỉa,3 hôm nữa lại có bài thư kí trưởng hiệp hội xxx đi lên bằng quan hệ với các quan chức khác thì tôi cười ỉa
470,1 đàn  đực nhảy vô đ.ấ.m đ.á túi bụi 1 cô gái.,1 đàn  đực nhảy vô đấm đá túi bụi 1 cô gái.,1 đàn đực nhảy vô đ.ấm đ.á túi bụi 1 cô gái.
471,"Zậy là ceo ùi đòi hỏi gì nữa bà chỉ có 4,75 còn thíu 0,5 nữa là có thể coi là trên trung bình r :))","Vậy là cao rồi đòi hỏi gì nữa bà chỉ có 4,75 còn thiếu 0,5 nữa là có thể coi là trên trung bình rồi :))","Vậy là cao rồi đòi hỏi gì nữa bà chỉ có 4,75 còn thiếu 0,5 nữa là có thể coi là trên trung bình rồi"
472,"Thì cũng giống như mặt trời chiếu vào cửa sổ , nếu rèm màu sáng càng sáng thì vẫn trong phòng vẫn bị chiếu k thể cản hết đc , còn nếu rèm màu tối cụ thể màu đen xì thì cản tương đối đến 98% kiểu vậy ","Thì cũng giống như mặt trời chiếu vào cửa sổ , nếu rèm màu sáng càng sáng thì vẫn trong phòng vẫn bị chiếu không thể cản hết được , còn nếu rèm màu tối cụ thể màu đen xì thì cản tương đối đến 98% kiểu vậy","Thì cũng giống như mặt trời chiếu vào cửa sổ , nếu rèm màu sáng càng sáng thì vẫn trong phòng vẫn bị chiếu không thể cản hết được , còn nếu rèm màu tối cụ thể màu đen xì thì cản tương đối đến 98% kiểu vậy"
473,Má mỗi lần t thấy mấy cái meme này là đầu t auto nghĩ tới m lun á pé  =)))))))),Má mỗi lần tao thấy mấy cái meme này là đầu tao auto nghĩ tới mày lôn á bé =)))))))),Má mỗi lần tao thấy mấy cái meme này là đầu tao auto nghĩ tới mày luôn á pé =))
